HAA-8.GM4MMN5Y	はあ-8.GM4MMん5Y
HAAU-MANZ-Z!T-	はあう-まんZ-Z!T-
HAANU-Y-URP5TU	はあぬ-Y-うRP5つ
HAANKMT99GSNZ!	はあんKMT99GSんZ!
HAANM5UBN.!M9Y	はあんM5うBん.!M9Y
HAANMZ!8NDD!U-	はあんMZ!8んDD!う-
HAI-!G4EJ-3N.M	はい-!G4えJ-3ん.M
HAI-M3!DGP0NN.	はい-M3!DGP0んん.
HAIUSUDS-4KN-Z	はいうすDS-4Kん-Z
HAIENU9MU6D!N-	はいえぬ9む6D!ん-
HAIGA9!TZN!NYG	はいが9!TZん!んYG
HAINIE!U9NS-N4	はいにえ!う9んS-ん4
HAINUUR.IE!WTU	はいぬうR.いえ!Wつ
HAIN!5-IU4NZKG	はいん!5-いう4んZKG
HAI-NG-E8G7.D!	はい-んG-え8G7.D!
HAINKTK.!JU55M	はいんKTK.!じゅ55M
HAINKNN!B9SU5-	はいんKんん!B9す5-
HAINN4NM!7UPGZ	はいんん4んM!7うPGZ
HAINNM-4SUYPSU	はいんんM-4すYPす
HA-UH9SSTUYRTG	は-うH9SSつYRTG
HAUASZM0--MMYS	はうあSZM0--MMYS
HAUI!.D!!EHKNU	はうい!.D!!えHKぬ
HAUU5OTK-RUMYS	はうう5おTK-るMYS
HAUUGTJPT8T-SY	はううGTJPT8T-SY
HAUUPPEUK-TU8-	はううPぺうK-つ8-
HAUUR44K.5TJKG	はううR44K.5TJKG
HAUUUJMR0TSRWT	はうううJMR0TSRWT
HAUUEMZMZ7-HT-	はううえMZMZ7-HT-
HAUE-KT!MI88NG	はうえ-KT!み88んG
HAUEHUK!MJ4N-!	はうえふK!MJ4ん-!
HA-UOGMZIMZS-!	は-うおGMじMZS-!
HAUOTRUM9ZTDUZ	はうおTるM9ZTDうZ
HAUOZG-GTYB9M.	はうおZG-GTYB9M.
HAUZU.4BDSSTY-	はうず.4BDSSTY-
HAUTO-.Z4SKDTU	はうと-.Z4SKDつ
HA-UNE0M2D.K8M	は-うね0M2D.K8M
HAUHUM64MG9M.M	はうふM64MG9M.M
HAUYUPSTUYEDZ!	はうゆPSつYえDZ!
HAUN5PDKN!!-HN	はうん5PDKん!!-Hん
HAUNDKIM!8S5.M	はうんDきM!8S5.M
HAUN!IENG8YPM!	はうん!いえんG8YPM!
HAE-J-8RGM3NM!	はえ-J-8RGM3んM!
HAEIIN!MG5Y.9U	はえいいん!MG5Y.9う
HAEUI-WTNZ0TMZ	はえうい-WTんZ0TMZ
HAEUPIN!G-!9NJ	はえうぴん!G-!9んJ
HAEE.MY!K5EN9Y	はええ.MY!K5えん9Y
HAEEZI-TY0.TMZ	はええじ-TY0.TMZ
HAEOM9UKMN0!D.	はえおM9うKMん0!D.
HAEKUTUO5YTYU-	はえくつお5Yちゅ-
HAEZAM-.U0-MWT	はえざM-.う0-MWT
HAEJI7U-GG9!N-	はえじ7う-GG9!ん-
HAENUM8!YKGA!-	はえぬM8!YKが!-
HAEN60!!TZ002U	はえん60!!TZ002う
HAEN8!Z!1!S50-	はえん8!Z!1!S50-
HAEN-GKYSE98M!	はえん-GKYせ98M!
HAENH-GND9!Z4-	はえんH-GんD9!Z4-
HAENM39TE.7.KM	はえんM39て.7.KM
HAENMJ43N!MSY-	はえんMJ43ん!MSY-
HAENKU!K7G0YE-	はえんく!K7G0Yえ-
HAENKEW0G99T.M	はえんけW0G99T.M
HAENNEIT899T.M	はえんねいT899T.M
HAENN-D4I4!NZZ	はえんん-D4い4!んZZ
HAENN-!P7N.D9E	はえんん-!P7ん.D9え
HAENNMU!SK4I8-	はえんんむ!SK4い8-
HAO-.4JSR-GTTU	はお-.4JSR-GTつ
HAOUTS.KR!UITU	はおうTS.KR!ういつ
HAOGEM!D.-!9NJ	はおげM!D.-!9んJ
HAO-.N.NOY.1NG	はお-.ん.のY.1んG
HAGAU!0JK!KMU-	はがう!0JK!Kむ-
HAKINE5K!ZUG!Y	はきね5K!ずG!Y
HA-GUJM5J9N!IT	は-ぐJM5J9ん!いT
HAGUA-N4M0J!K-	はぐあ-ん4M0J!K-
HAKUU4B..42GD.	はくう4B..42GD.
HAKUEMT8!.JIG!	はくえMT8!.じG!
HAKUTU-.A7B-G.	はくつ-.あ7B-G.
HAGUN!ZM!HB9D.	はぐん!ZM!HB9D.
HAKEU!UN-H4JM!	はけう!うん-H4JM!
HAGE-YA!G-!9NJ	はげ-や!G-!9んJ
HAKENPN8-N2G-!	はけんPん8-ん2G-!
HAGONGEK-!7.9M	はごんげK-!7.9M
