P0000MZE2AE9.0	P0000Mぜ2あえ9.0
P0000AJTG0A0-!	P0000あJTG0あ0-!
P0000N1-TA!N6E	P0000ん1-た!ん6え
P0003549TUOUJE	P0003549つおうJえ
P000GGIO6M-005	P000Gぎお6M-005
P000GSE0I76ZG!	P000Gせ0い76ZG!
P000JES!.65AM!	P000JえS!.65あM!
P000-M670G1ZEG	P000-M670G1ぜG
P000TG28.1K1NG	P000TG28.1K1んG
P00!0W0GS6EHG!	P00!0W0GS6えHG!
P00.0ZSR1BES!Z	P00.0ZSR1べS!Z
P000I!N60S3EE-	P000い!ん60S3ええ-
P000UMH005BY0E	P000うMH005BY0え
P000GA8353UTTY	P000が8353うTTY
P000JUR1R5G0U2	P000じゅR1R5G0う2
P000HETK056ZG!	P000へTK056ZG!
P000ME08I5W5GZ	P000め08い5W5GZ
P00!10NAJZ!TE0	P00!10なJZ!て0
P00140J5N7KUSG	P00140J5ん7くSG
P001522N.R8USG	P001522ん.R8うSG
P00-15ZSU7PUSS	P00-15Zす7ぷSS
P001G3UYK55!HN	P001G3うYK55!Hん
P001.UT6.32G2G	P001.うT6.32G2G
P001N802N5PGYG	P001ん802ん5PGYG
P00238NUEES98M	P00238ぬええS98M
P002.5AEU935YU	P002.5あえう935ゆ
P002Y30E.DE08G	P002Y30え.Dえ08G
P002A4GU!S18.U	P002あ4ぐ!S18.う
P00.335SJMD58M	P00.335SJMD58M
P!0039G1GU2ZHN	P!0039G1ぐ2ZHん
P003GPR0SS985G	P003GPR0SS985G
P003KYE-ENNAKM	P003KYえ-えんなKM
P00!3TJZ4S33SG	P00!3TJZ4S33SG
P003Z6.P24GU5G	P003Z6.P24ぐ5G
P003IN-EWGNIKG	P003いん-えWGにKG
P003UT4E33Z1.M	P003うT4え33Z1.M
P003E4SNR03!HN	P003え4SんR03!Hん
P003EE350YR5YU	P003ええ350YR5ゆ
P00-3O2U33GGZ!	P00-3お2う33GGZ!
