A--!EGBM69UJNJ	あ--!えGBM69うJんJ
A---B.IOEZE0N-	あ---B.いおえぜ0ん-
A---KZ.8ZYGGAB	あ---KZ.8ZYGがB
A---ZPE0-ZHKEG	あ---Zぺ0-ZHけG
A---SOZIENMY0E	あ---そじえんMY0え
A--.!M-AWGAEZZ	あ--.!M-あWがえZZ
A--.D056KEIKNG	あ--.D056けいKんG
A--.IZEKISES!Z	あ--.いぜきせS!Z
A--.NWAU9.ZMDA	あ--.んわう9.ZMDあ
A--0KRSAGYRSSU	あ--0KRさGYRSす
A--0OWRT.GNAKG	あ--0おWRT.GなKG
A--1MGJMH9E9NU	あ--1MGJMH9え9ぬ
A--36DNGNAKZM!	あ--36DんGなKZM!
A--36EMDGNWN!J	あ--36えMDGんWん!J
A--3TJGKZJTYES	あ--3TJGKZJちぇS
A--4.MBH8NN3EM	あ--4.MBH8んん3えM
A--4ZDGJE0IN!J	あ--4ZDGJえ0いん!J
A--5.ODAWUTG.R	あ--5.おDあWうTG.R
A--5GR.OP-DO.G	あ--5GR.おP-Dお.G
A--5P2U9!NT451	あ--5P2う9!んT451
A--5SZTHAMZK.M	あ--5SZてゃMZK.M
A--5NHN!ODK!JG	あ--5んHん!おDK!JG
A--6--ZINSEYEE	あ--6--じんせYええ
A--6RGR.ERSMHN	あ--6RGR.えRSMHん
A--94AGN8HMGMZ	あ--94あGん8HMGMZ
A--BG3EIN.K7N0	あ--BG3えいん.K7ん0
A--BGWJU0RNPGZ	あ--BGWじゅ0RんPGZ
A--BSDITT!4E9G	あ--BSDいTT!4え9G
A--BTTN2GD2K5-	あ--BTTん2GD2K5-
A--DA0.-NAJRTU	あ--Dあ0.-なJRつ
A--DURO5S.M.RA	あ--Dうろ5S.M.ら
A--G!!AAKJN0D.	あ--G!!ああKJん0D.
A--G!K8JEJE!KS	あ--G!K8JえJえ!KS
A--G0HDN0I4NEY	あ--G0HDん0い4ねY
A--G1YETURJOU-	あ--G1YえつRじょう-
A--G8S-ROESRD.	あ--G8S-ろえSRD.
A--GDN08AHUM9M	あ--GDん08あふM9M
A--GR!SYOIOGUU	あ--GR!しょいおぐう
A--GS07007HG05	あ--GS07007HG05
A--GSHR4.HM.PG	あ--GSHR4.HM.PG
A--GT0-24BKBTG	あ--GT0-24BKBTG
A--GT5DPM74ITG	あ--GT5DPM74いTG
A--GTRZPS4JJSU	あ--GTRZPS4JJす
A--GTOJB.T3RUZ	あ--GとJB.T3るZ
A--GPOUSY.N2DS	あ--GぽうSY.ん2DS
A--GMERN06K7JG	あ--GめRん06K7JG
A--H.UGK2.I.-A	あ--H.うGK2.い.-あ
A--H95.DA5NNKM	あ--H95.Dあ5んんKM
A--HS7EGRYNDUZ	あ--HS7えGRYんDうZ
A--HZI5MGZE-YS	あ--Hじ5MGぜ-YS
A--HTUMNRJOS9G	あ--HつMんRじょS9G
A--HNMK1N3NSD!	あ--HんMK1ん3んSD!
A--J8UNMI5JED!	あ--J8うんみ5JえD!
A--JKM-18KGN5E	あ--JKM-18KGん5え
A--JMND0YG69EE	あ--JMんD0YG69ええ
A--JS5TY.AKGYE	あ--JS5TY.あKGYえ
A--KR-!5452U51	あ--KR-!5452う51
A--KSAYTG3RSUZ	あ--KさYTG3RすZ
A--KSIUNNDH0EY	あ--KしうんんDH0えY
A--KNIUWSUAS9G	あ--KにうWすあS9G
A--M51JNKIN2.G	あ--M51Jんきん2.G
A--MBHGS3RZNYU	あ--MBHGS3RZにゅ
A--MHE3N8GKD0-	あ--Mへ3ん8GKD0-
A--PP4RZZA.GGU	あ--PP4RZざ.Gぐ
A--R1TTAHUYGU.	あ--R1TたふYぐ.
A--R8UOHUS-DTG	あ--R8うおふS-DTG
A--S-YB6AUDUUU	あ--S-YB6あうDううう
A--S2DDM4PM!SG	あ--S2DDM4PM!SG
A--SK3OYU-DUES	あ--SK3おゆ-DうえS
A--SSRGRSYRJE0	あ--SSRGRSYRJえ0
A--SZTH1TNINMZ	あ--SZTH1TにんMZ
A--SNG7KMM33HN	あ--SんG7KMM33Hん
A--TTPH24GDGM!	あ--TTPH24GDGM!
A--TMI4TDB85TG	あ--Tみ4TDB85TG
A--TN8IKN3KEE0	あ--Tん8いKん3けえ0
A--WGSDJUBNZ5Y	あ--WGSDじゅBんZ5Y
A--WRDT1GNSO.U	あ--WRDT1Gんそ.う
A--YSZR4SSBUGJ	あ--YSZR4SSぶGJ
A--ZZM6RKEMZES	あ--ZZM6RけMぜS
A--A-ITEZMJ.5Z	あ--あ-いてZMJ.5Z
A--A.ZSM8BME-Z	あ--あ.ZSM8Bめ-Z
A--AKMGNI3N09S	あ--あKMGに3ん09S
A--AM9NGNAJ04-	あ--あM9んGなJ04-
A--AMMS9OZZNE-	あ--あMMS9おZZね-
A--AN3M0.9NDMA	あ--あん3M0.9んDま
A--U4DOYNSZBSU	あ--う4DおYんSZBす
A--U4SOWUUKEYE	あ--う4そWううけYえ
A--UK1OUSRGTJ-	あ--うK1おうSRGTJ-
A--US3NGKPZROT	あ--うS3んGKPZろT
A--US8UGMWGIYA	あ--うS8うGMWぎや
A--UN4DOTOBZU.	あ--うん4DおとBず.
A--EGNJ20IN0DY	あ--えGんJ20いん0DY
A--EJ!7JIGNG3-	あ--えJ!7じGんG3-
A--ET3DD4TM-7E	あ--えT3DD4TM-7え
A--EZ9AN-OME-Z	あ--えZ9あん-おめ-Z
A--EE7GKKYE8N0	あ--ええ7GKKYえ8ん0
A--EEDRT!29GIT	あ--ええDRT!29ぎT
A--O-SSDD.N1UR	あ--お-SSDD.ん1うR
A--OZYGUDR0UAT	あ--おZYぐDR0うあT
A--OGUBHUIYG.!	あ--おぐBふいYG.!
A--ONA0MD9NG8M	あ--おな0MD9んG8M
A--GI40GHJJG!-	あ--ぎ40GHJJG!-
A--KEMN04JE8JT	あ--けMん04Jえ8JT
A--GERPYAZ2UU.	あ--げRPやZ2うう.
A--JIMSTHS.E0-	あ--じMSTHS.え0-
A--JA5NMK9-5JG	あ--じゃ5んMK9-5JG
A--ZOHZ.GBE-M!	あ--ぞHZ.Gべ-M!
A--PANU.RTA9SU	あ--ぱぬ.Rた9す
A--PUWTKUON3SG	あ--ぷWTくおん3SG
A--HOU!YRGZBNG	あ--ほう!YRGZBんG
A--MO0TWNZINES	あ--も0TWんじねS
A--REA8RMPSUU.	あ--れあ8RMPすう.
A--N62DN8BNE.M	あ--ん62Dん8Bね.M
A--NZDJ4A0GJM!	あ--んZDJ4あ0GJM!
A-A!.NZRRGUPOT	あ-あ!.んZRRぐぽT
A-A!09NZDNAMYG	あ-あ!09んZDなMYG
A-A!DN0NYA-0KG	あ-あ!Dん0にゃ-0KG
A-A!TZIIZGZ.E-	あ-あ!TじいZGZ.え-
A-A!Z--ZMPGHGZ	あ-あ!Z--ZMPGHGZ
A-A!ZY-RAEUND.	あ-あ!ZY-らえうんD.
A-A!UZSDRZSRD.	あ-あ!うZSDRZSRD.
A-A!NH!4SMJ.KG	あ-あ!んH!4SMJ.KG
A-A!NMAN0B9N.R	あ-あ!んまん0B9ん.R
A-A--EOZNYME0-	あ-あ--えおZんYめ0-
A-A-.5TZ09S15Z	あ-あ-.5TZ09S15Z
A-A-.WIE2.DUG.	あ-あ-.ゐえ2.DうG.
A-A-MD8JMGY5N0	あ-あ-MD8JMGY5ん0
A-A-MN0KNHR3G!	あ-あ-Mん0KんHR3G!
A-A.-GGGWAYR0-	あ-あ.-GGGわYR0-
A-A.-SE-BZJM!Z	あ-あ.-せ-BZJM!Z
A-A..DW4ZTEZKG	あ-あ..DW4ZてZKG
A-A.5E0IZ!8!05	あ-あ.5え0いZ!8!05
A-A.976GNMBMG.	あ-あ.976GんMBMG.
A-A.9PYSGTUYES	あ-あ.9PYSGつYえS
A-A.K345DUDNYU	あ-あ.K345DうDにゅ
A-A.M5G7I3.NKM	あ-あ.M5G7い3.んKM
A-A.UNK5O-PUKM	あ-あ.うんK5お-ぷKM
A-A.TUE.4TJYOT	あ-あ.つえ.4TじょT
A-A0.E5!063!MZ	あ-あ0.え5!063!MZ
A-A0.SEURJTKK-	あ-あ0.せうRJTKK-
A-A0ZGMMSOM-ZY	あ-あ0ZGMMそM-ZY
A-A0UPUKUTIRUZ	あ-あ0うぷくちるZ
A-A1DS000!0N0-	あ-あ1DS000!0ん0-
A-A3DUSUUZYIT-	あ-あ3DうすうZYいT-
A-A5-M.NAPM-ZZ	あ-あ5-M.なPM-ZZ
A-A5.D-P-YOGUU	あ-あ5.D-P-よぐう
A-A5ZPTYNSURYG	あ-あ5ZPTYんすRYG
A-A5N8K!MRJ.EM	あ-あ5ん8K!MRJ.えM
A-A6MNT-OMS.MZ	あ-あ6MんT-おMS.MZ
A-A70NGYN0KTKE	あ-あ70んGYん0KTけ
A-A7GK!.GI.J5M	あ-あ7GK!.ぎ.J5M
A-A7KMU9GJ0NE-	あ-あ7Kむ9GJ0ね-
A-A8IYMRNMNG05	あ-あ8いYMRんMんG05
A-A8UKNMK1!.EM	あ-あ8うKんMK1!.えM
A-A8EKE0!.KGK-	あ-あ8えけ0!.KGK-
A-A8KUK5NMGI0-	あ-あ8くK5んMぎ0-
A-A9PNSYUTUPGZ	あ-あ9PんしゅつPGZ
A-A9R.HTUTUPGZ	あ-あ9R.HつつPGZ
A-ABTR..P6-GUU	あ-あBTR..P6-ぐう
A-AD.MG.GPYZ6T	あ-あD.MG.GPYZ6T
A-AD.MG.O9P.E-	あ-あD.MG.お9P.え-
A-AD.SSYR6-TUG	あ-あD.SSYR6-つG
A-ADW0NNDG7N0-	あ-あDW0んんDG7ん0-
A-ADZ0GND!9HN-	あ-あDZ0GんD!9Hん-
A-ADONNN2MN9Z!	あ-あDおんんん2Mん9Z!
A-AG-DS6ET..KY	あ-あG-DS6えT..KY
A-AG.KS9STNOMY	あ-あG.KS9STのMY
A-AGMEYJ!G7.!J	あ-あGめYJ!G7.!J
A-AGWET...4AMY	あ-あGゑT...4あMY
A-AH!NG9GJMT8-	あ-あH!んG9GJMT8-
A-AJ!NDJZU!9EM	あ-あJ!んDJず!9えM
