8AADRE9UTYUN9G    8ああDれ9うTゆん9G
8AAE9NMM.MPD.0    8ああえ9んMM.MPD.0
8AAGNMN!JTZB9-    8ああGんMん!JTZB9-
8AAGNUNTD7R4YU    8ああGぬんTD7R4ゆ
8AAHWGUN...ZKS    8ああHWGうん...ZKS
8AAIO.UT.MGTK-    8ああいお.うT.MGTK-
8AAJTYMNM5M!UJ    8ああJTYMんM5M!うJ
8AAJZN..NUDPZZ    8ああJZん..ぬDPZZ
8AAKN.!3DDGM.R    8ああKん.!3DDGM.R
8AAKN-BG!EMY.0    8ああKん-BG!えMY.0
8AAKS!9U85.55M    8ああKS!9う85.55M
8AAK.N!-5MINBU    8ああK.ん!-5みんBう
8AAMEBMNG.!Y0Y    8ああめBMんG.!Y0Y
8AAMJGMZUM0!DY    8ああMJGMZうM0!DY
8AAMNJ95MGB-.-    8ああMんJ95MGB-.-
8AAMS0D.KJUMM!    8ああMS0D.KJうMM!
8AAMT300!.S48G    8ああMT300!.S48G
8AAMYNM.3T7NEM    8ああMYんM.3T7ねM
8AAMZEDM9-.G!J    8ああMZえDM9-.G!J
8AAMZTTPRUUGZY    8ああMZTTPるうGZY
8AAM.MGH3!D-N-    8ああM.MGH3!D-ん-
8AAM!-GGHN!WYG    8ああM!-GGHん!WYG
8AANEWZ!NGYMD!    8ああねWZ!んGYMD!
8AANEYN4EZK-M!    8ああねYん4えZK-M!
8AANGG-7KBN-0-    8ああんGG-7KBん-0-
8AANNHU!MKDT!Z    8ああんんふ!MKDT!Z
8AANUDRR.!G4KS    8ああぬDRR.!G4KS
8AANU7MJKSUMM!    8ああぬ7MJKすMM!
8AAPTNS--DSUYU    8ああPTんS--Dすゆ
8AAUM59YMM-ENJ    8ああうM59YMM-えんJ
8AAUNNK0W-4MEM    8ああうんんK0W-4めM
8AAYKURUG9!REG    8ああYくるG9!れG
8AAZHIYSUG..N.    8ああZひYすG..ん.
8AA06MSSN!!!5Z    8ああ06MSSん!!!5Z
8AA0-AK!KMUMG.    8ああ0-あK!KむMG.
8AA7MMDM9.NEUZ    8ああ7MMDM9.ねうZ
8AA9K-NN-DZE5M    8ああ9K-んん-DZえ5M
8AA.N0R!Z2559G    8ああ.ん0R!Z2559G
8AA-BZRKTUTSU.    8ああ-BZRKつTす.
8AA-MGU0IJYGM!    8ああ-MGう0いJYGM!
8AA-NBNM!MYN1U    8ああ-んBんM!MYん1う
8AA-1T53.54.U!    8ああ-1T53.54.う!
8AA-!MDN.IUHG!    8ああ-!MDん.いうHG!
8AA!UU841T!US0    8ああ!うう841T!うS0
8ABDDPU-ZSZ-UU    8あBDDPう-ZSZ-うう
8ABDMTT4ZN!TBT    8あBDMTT4Zん!TBT
8ABD.3N.MHMMT0    8あBD.3ん.MHMMT0
8ABEM.-N7KRNE0    8あBえM.-ん7KRね0
8ABENJZD-ZM!N4    8あBえんJZD-ZM!ん4
8ABENM-9.IUHG!    8あBえんM-9.いうHG!
8ABGR.D5N9YRSG    8あBGR.D5ん9YRSG
