BA--!NHUH4N!JG	ば--!んふH4ん!JG
BA--4T1TDMT!GJ	ば--4T1TDMT!GJ
BA--GNNW3H!!JG	ば--GんんW3H!!JG
BA-AT!DTR!5DM.	ば-あT!DTR!5DM.
BA-AN9ZPS.TND.	ば-あん9ZPS.TんD.
BA-INT59GZ0KNJ	ば-いんT59GZ0KんJ
BA-U.NOJTDNO-!	ば-う.のJTDの-!
BA-U3!NK-HKEN0	ば-う3!んK-Hけん0
BA-U3036U!0UU2	ば-う3036う!0うう2
BA-EK7SEMZZZ.-	ば-えK7せMZZZ.-
BA-EM44UITG!WT	ば-えM44ういTG!WT
BA-O.KSREUP.!U	ば-お.KSれうP.!う
BA-OY5SDNT.YSU	ば-おY5SDんT.Yす
BA-KUEZMA--Z0Z	ば-くえZま--Z0Z
BA-GUUZP.HSRR!	ば-ぐうZP.HSRR!
BA-GO-!UYDZHNU	ば-ご-!うYDZHぬ
BA-TE24SM4KMU-	ば-て24SM4Kむ-
BA-NUT8UBZPSYU	ば-ぬT8うBZPしゅ
BA-MI0G0NW4JNU	ば-み0G0んW4Jぬ
BA-YUG.1ITT.OU	ば-ゆG.1いTT.おう
BA-RE4S9EDMT!-	ば-れ4S9えDMT!-
BA-N0OM4N.KE8M	ば-ん0おM4ん.け8M
BA-N6MNGDSN78-	ば-ん6MんGDSん78-
BA-N7NN1NSKDZ!	ば-ん7んん1んSKDZ!
BA-NSSJRZKZG4-	ば-んSSJRZKZG4-
BA-NZ8MGBG!8J-	ば-んZ8MGBG!8J-
BA-NPEN!NJ8WG!	ば-んぺん!んJ8WG!
BA-NNS8K.--ZRA	ば-んんS8K.--Zら
BAA-RU!ZJ.-B.G	ばあ-る!ZJ.-B.G
BAAO-UT-TY3NU.	ばあお-うT-TY3ぬ.
BAAN!9NMYSM0UJ	ばあん!9んMYSM0うJ
BAANG!!N4WNKZZ	ばあんG!!ん4WんKZZ
BAI-N8Z9-GM5JG	ばい-ん8Z9-GM5JG
BAIUG83TY.4D.G	ばいうG83TY.4D.G
BAIUUT1U-ZUWYG	ばいううT1う-ずWYG
BAIUUYTGZYO5U-	ばいううYTGじょ5う-
BAIN3!ZNY0NMBU	ばいん3!ZんY0んMぶ
BAIN45ME.J.0K-	ばいん45め.J.0K-
BAINGD0--.8E8M	ばいんGD0--.8え8M
BAU-B0YNUROTUZ	ばう-B0YぬろつZ
BAU-HG8NTI0N9M	ばう-HG8んち0ん9M
BAU-MM44TPS9EM	ばう-MM44TPS9えM
BAU-P1-YUNKSSU	ばう-P1-ゆんKSす
BAU-SG.9BSOR.-	ばう-SG.9BそR.-
BAU-SSJZ4GIYM.	ばう-SSJZ4ぎYM.
BAU-YZSTOD3MU.	ばう-YZSとD3む.
BAU-O8GMYTWUSU	ばう-お8GMYTWうす
BAU-HUE!Y-UPNJ	ばう-ふえ!Y-うPんJ
BAUAN4NRR4U.!J	ばうあん4んRR4う.!J
