YA-A.TUSU8PMPG	や-あ.つす8PMPG
YA-AG9OU-TUPGZ	や-あG9おう-つPGZ
YA-AJ.BEUZDT!.	や-あJ.べうZDT!.
YA-ATW9N.UBNSE	や-あTW9ん.うBんせ
YA-AE-Y.E9GTJS	や-あえ-Y.え9GTJS
YA-AO-SGUD!YSU	や-あお-SぐD!Yす
YA-IDAS-Z.8TGG	や-いDあS-Z.8TGG
YA-IHGBG.NM905	や-いHGBG.んM905
YA-IHTSGEJR!U.	や-いHTSげJR!う.
YA-U3AGPNZMP.M	や-う3あGPんZMP.M
YA-U3IMTUSUIHN	や-う3いMつすいHん
YA-U5GYKZOTPSG	や-う5GYKぞTPSG
YA-U5USYIEATYU	や-う5うSYいえあちゅ
YA-UB.YS1UE-BU	や-うB.YS1うえ-ぶ
YA-UJNS-IK.5-A	や-うJんS-いK.5-あ
YA-UTSY-OU1KEG	や-うTSY-おう1けG
YA-UTUMOSUJ3IT	や-うつもすJ3いT
YA-UNOB.IG7ZTG	や-うのB.いG7ZTG
YA-UWO4EGUSD-Z	や-うを4えぐSD-Z
YA-ET4ZPJANNT.	や-えT4ZPじゃんんT.
YA-EUZTI2OGU.R	や-えうZち2おぐ.R
YA-EOKGUOTU0TY	や-えおKぐおつ0TY
YA-EZO4G.TPB.U	や-えぞ4G.TPB.う
YA-ENMOUE.4ZYB	や-えんもうえ.4ZYB
YA-ODUUPUEZ2M.	や-おDううぷえZ2M.
YA-OMSTG.EP3YU	や-おMSTG.えP3ゆ
YA-OPGTY2SE.G.	や-おPGTY2せ.G.
YA-OTS..A4TED.	や-おTS..あ4てD.
YA-OWKU5ENKMSU	や-おWく5えんKMす
YA-OUNTDNM6SEY	や-おうんTDんM6せY
YA-ONGI0JM!N4E	や-おんぎ0JM!ん4え
YA-GIE8J!NY!EE	や-ぎえ8J!んY!ええ
YA-GUSP5RYJES-	や-ぐSP5RYJえS-
YA-GOTTG3SHYU-	や-ごTTG3SHゆ-
YA-JIEMNR6GN!5	や-じえMんR6Gん!5
YA-JU4AS-TUPGZ	や-じゅ4あS-つPGZ
YA-JUU-5ATEPYU	や-じゅう-5あてPゆ
YA-TUZNTIG6AD.	や-つZんちG6あD.
YA-NA!KD5NNH5-	や-な!KD5んんH5-
YA-NEM9W5HNK5G	や-ねM9W5HんK5G
YA-PUTU.P6BSNG	や-ぷつ.P6BSんG
YA-HEP4P.TNSUU	や-へP4P.Tんすう
YA-MI!TM4DN2EE	や-み!TM4Dん2ええ
YA-N-NM6J9EB5G	や-ん-んM6J9えB5G
YA-N5JRRG39GBU	や-ん5JRRG39Gぶ
YA-NRSA4S-.SBU	や-んRさ4S-.Sぶ
YA-NSHEY4PTSUU	や-んSへY4PTすう
YA-NSNBG9HM6G!	や-んSんBG9HM6G!
YA-NGUPSSW5DYS	や-んぐPSSW5DYS
YA-NN0MKA51-KG	や-んん0Mか51-KG
YAA-MNJ5MGY6G!	やあ-MんJ5MGY6G!
YAAIG.J..5.ZJS	やあいG.J..5.ZJS
YAAIU.G8NZH.UZ	やあいう.G8んZH.うZ
YAAINZN!5WGND!	やあいんZん!5WGんD!
YAAU4E54KKYUG.	やあう4え54KきゅG.
YAAUT7SERUZUK-	やあうT7せるずK-
YAAE!8U0N3S9!5	やあえ!8う0ん3S9!5
YAAE.PZM3RTU-U	やあえ.PZM3Rつ-う
YAAEMK9MNE.9S0	やあえMK9Mね.9S0
YAAEZUU-Y-P4SG	やあえずう-Y-P4SG
YAAOD.T.TNI.5M	やあおD.T.Tに.5M
YAAKUSPZG0TTYU	やあくSPZG0Tちゅ
YAASUG4-YZZTBU	やあすG4-YZZTぶ
YAASUR-U-NMP3S	やあすR-う-んMP3S
YAAZUAGZZ8K.N.	やあずあGZZ8K.ん.
YAAZUUT0TWRKSG	やあずうT0TWRKSG
YAANU!7ZKJ!GEM	やあぬ!7ZKJ!げM
YAANU6NNM!0DIT	やあぬ6んんM!0DいT
YAAMUM-NK4E6N0	やあむM-んK4え6ん0
YAAYUZETNGE7Y-	やあゆぜTんげ7Y-
YAAN.S2TZEYGK-	やあん.S2TぜYGK-
YAAN4GR2RN0G.R	やあん4GR2Rん0G.R
YAANB6MJ-!!.GG	やあんB6MJ-!!.GG
YAANJ0E8NMDT!-	やあんJ0え8んMDT!-
YAANS4Y!DRG3.G	やあんS4Y!DRG3.G
YAANSI7G!G0K.M	やあんし7G!G0K.M
YAANHUE9.2MNM!	やあんふえ9.2MんM!
YAI-6NE4GENZ9M	やい-6ね4げんZ9M
YAII.KGSNEN7!5	やいい.KGSねん7!5
YAIIN5NG4I.-E0	やいいん5んG4い.-え0
YAIU!ZOEGPTUYU	やいう!ぞえGPつゆ
YAIU-HRE.T4SSU	やいう-Hれ.T4Sす
YAIUTBSGY3SZU-	やいうTBSGY3Sず-
YAIE.M!2OJNNG!	やいえ.M!2おJんんG!
YAIE0MWNN5-3KG	やいえ0MWんん5-3KG
