JI--3BGMZGJ58M	じ--3BGMZGJ58M
JIA-D!PZGNM08G	じあ-D!PZGんM08G
JI-A-GKNZM915G	じ-あ-GKんZM915G
JIAA9MN.G4-E0-	じああ9Mん.G4-え0-
JIAAB0MG!.K.U!	じああB0MG!.K.う!
JIAAU5US-R-TYU	じああう5うS-R-ちゅ
JIAI9N-E.4.E5M	じあい9ん-え.4.え5M
JIAURTB2UZ-ZUU	じあうRTB2うZ-ずう
JIAURTZ5RA-TU.	じあうRTZ5ら-つ.
JIAUSDU7-TWUSU	じあうSDう7-TWうす
JI-AUMA!0K!UGJ	じ-あうま!0K!うGJ
JIAE08.RMYM!EG	じあえ08.RMYM!えG
JIA-EGK7D0UNZ!	じあ-えGK7D0うんZ!
JIAEGKZ.B0!G!Y	じあえGKZ.B0!G!Y
JIAEM8K!GU!JS-	じあえM8K!ぐ!JS-
JIAEMD0UIN!Z9U	じあえMD0ういん!Z9う
JIAETR849NRGUU	じあえTR849んRぐう
JIAE.-IG0-8GD!	じあえ.-いG0-8GD!
JIAEOK.Z1.N.U.	じあえおK.Z1.ん.う.
JIAE!N2NR!NJS-	じあえ!ん2んR!んJS-
JIAE!N.E!MI3YU	じあえ!ん.え!み3ゆ
JIAGU!.D!0-BHN	じあぐ!.D!0-BHん
JIAGUM6M.B0G!Y	じあぐM6M.B0G!Y
JIAZE9M-U0M4JG	じあぜ9M-う0M4JG
JIANE..B!4!AM.	じあね..B!4!あM.
JIAHE!95MDM.U.	じあへ!95MDM.う.
JI--AMU3NK6G5M	じ--あむ3んK6G5M
JIAWA!!NGNPN!U	じあわ!!んGんPん!う
JIAN19M5MUNE-Y	じあん19M5むね-Y
JIAN73D-NGT0MZ	じあん73D-んGT0MZ
JIANGSM9DJZ!5-	じあんGSM9DJZ!5-
JIANK-WG9E!.5E	じあんK-WG9え!.5え
JIANM-08TNB.2G	じあんM-08TんB.2G
JIANZRM2K00MGU	じあんZRM2K00Mぐ
JIANNU4!EOKM!Z	じあんぬ4!えおKM!Z
JIANNB0ME-7U9U	じあんんB0め-7う9う
JIANNM9MBZU!1U	じあんんM9MBず!1う
JIANN.TH!M!D3S	じあんん.TH!M!D3S
JIANNY5!GWN!AT	じあんんY5!GWん!あT
JI-I0OG!G6-GKG	じ-い0おG!G6-GKG
JII-3.NEP.T.-A	じい-3.ねP.T.-あ
JI-I.9MHG5GT8E	じ-い.9MHG5GT8え
JI-I-9NGGEK1S0	じ-い-9んGげK1S0
JIIAGM7!ZDN5U.	じいあGM7!ZDん5う.
JIII9!RSNGE.E0	じいい9!RSんげ.え0
