WHIEMD0MU39NGZ	うぃえMD0む39んGZ
WHIEMDZT.ZEZ5-	うぃえMDZT.ぜZ5-
WHIGUN-NJE2!9E	うぃぐん-んJえ2!9え
WHIZE!4G5GJKM.	うぃぜ!4G5GJKM.
WHINUTSN.ES4YB	うぃぬTSん.えS4YB
WHIBUZGRUUS7TU	うぃぶZGるうS7つ
WHINGTRS0SEYD.	うぃんGTRS0せYD.
WHINMBS0G95NGY	うぃんMBS0G95んGY
WHINSG0MU5KI9G	うぃんSG0む5き9G
WHINYG57TMJN5G	うぃんYG57TMJん5G
WHE-092NDJ-NEG	うぇ-092んDJ-ねG
WHE-GPNO.U2TUR	うぇ-GPの.う2つR
WHEANUMY02NKG!	うぇあぬMY02んKG!
WHEANJ6R.ZG.U.	うぇあんJ6R.ZG.う.
WHEI0Z!4YGGING	うぇい0Z!4YGぎんG
WHEISMN1TZS-.M	うぇいSMん1TZS-.M
WHEU2S0JDN!NKM	うぇう2S0JDん!んKM
WHEU9.MYRHTUEE	うぇう9.MYRHつええ
WHEUWZM5KZ-MES	うぇうWZM5KZ-めS
WHEUWNTZRSR4SG	うぇうWんTZRSR4SG
WHEUUBOT-EYU9U	うぇううぼT-えゆ9う
WHEE-S-GNWH-5-	うぇえ-S-GんWH-5-
WHEE7ZE-EYS-N-	うぇえ7ぜ-えYS-ん-
WHEE96-NN2MD.G	うぇえ96-んん2MD.G
WHEEG.ZIMWS-5-	うぇえG.じMWS-5-
WHEEI-PNS0MZU-	うぇえい-PんS0Mず-
WHEGUT9SPYNPSU	うぇぐT9SPYんPす
WHEZINN!GK4OG!	うぇじんん!GK4おG!
WHETIE.SI0MZU-	うぇちえ.し0Mず-
WHENUJZGM1D9M!	うぇぬJZGM1D9M!
WHENEKD-6U0KG!	うぇねKD-6う0KG!
WHEN5KK!MJS.2G	うぇん5KK!MJS.2G
WHEN5W4E0NKGK-	うぇん5W4え0んKGK-
WHEN8!G-Y5AMKG	うぇん8!G-Y5あMKG
WHENG--NHJ4D!5	うぇんG--んHJ4D!5
WHENR5NAGJ!-9M	うぇんR5なGJ!-9M
WHENS9K.GM1M9E	うぇんS9K.GM1M9え
WHENT-!IG93GHN	うぇんT-!いG93GHん
WHENT3MNMJW3G!	うぇんT3MんMJW3G!
WHENW4J!K!E.EG	うぇんW4J!K!え.えG
WHENJUM2!5IYNG	うぇんじゅM2!5いYんG
WHO-S-KYDU5NEG	うぉ-S-KYDう5ねG
WHOTUG-ATDR0U.	うぉつG-あTDR0う.
WHORUEZZGD4TU-	うぉるえZZGD4つ-
WHONDNM03!JMTG	うぉんDんM03!JMTG
WHONSGD8TERM.-	うぉんSGD8てRM.-
WHONTE.RDYE.5M	うぉんて.RDYえ.5M
WA-A5AUKUUYUT-	わ-あ5あうくうゆT-
WA-AEG.ND!SWYU	わ-あえG.んD!SWゆ
WA-ANUZND!SRKS	わ-あぬZんD!SRKS
WA-IKDNJMGU005	わ-いKDんJMぐ005
WA-U.OBB9ENTN.	わ-う.おBB9えんTん.
WA-U0GMDUA82TG	わ-う0GMDうあ82TG
WA-U4UTBDUZZJS	わ-う4うTBDうZZJS
WA-UMK8POG-EG.	わ-うMK8ぽG-えG.
WA-UUSP9UOBMG.	わ-ううSP9うおBMG.
WA-E3H!GKNKNT0	わ-え3H!GKんKんT0
WA-E3UUUBS.PMY	わ-え3うううBS.PMY
WA-EM7GGJN19M.	わ-えM7GGJん19M.
WA-EYZRUNRGS1T	わ-えYZるんRGS1T
WA-EJU.RSRRE5-	わ-えじゅ.RSRれ5-
WA-EN0JNUBK0D!	わ-えん0JぬBK0D!
WA-GIR5.DZANT.	わ-ぎR5.DざんT.
WA-KUUG5UODZWT	わ-くうG5うおDZWT
WA-KEJ54M0NKGZ	わ-けJ54M0んKGZ
WA-GO4DZESU-.R	わ-ご4Dぜす-.R
WA-SUUBGWTS8D.	わ-すうBGWTS8D.
WA-ZU9PESPRNUG	わ-ず9ぺSPRぬG
WA-TOUUJUMWGU2	わ-とううじゅMWぐ2
WA-NE5INKNE79U	わ-ね5いんKね79う
WA-NO3R-TEE.UR	わ-の3R-てえ.うR
WA-MI2G1NN.!GJ	わ-み2G1んん.!GJ
WA-RUB.JGSI.5M	わ-るB.JGし.5M
WA-NKJMDEN00U2	わ-んKJMDえん00う2
WAAUZ5B.J.J.N.	わあうZ5B.J.J.ん.
WAAUIU7TTNR.SU	わあういう7TTんR.す
WAAONT.KGZTN4-	わあおんT.KGZTん4-
WAAZYUG.MR2TSU	わあじゅG.MR2Tす
WAAMUG0M6N9GK-	わあむG0M6ん9GK-
WAAN0!-SGKK0KG	わあん0!-SGKK0KG
WAANKN2GE0Y.M!	わあんKん2げ0Y.M!
WAI-GNDNN2T6N0	わい-GんDんん2T6ん0
WAI-GNR0UPNPGZ	わい-GんR0うPんPGZ
WAI-R5RANUTSU.	わい-R5らぬTす.
WAIAGGW0NN4N!-	わいあGGW0んん4ん!-
WAIAJMNU!G3N!-	わいあJMぬ!G3ん!-
WAIU-N1G!JMM8G	わいう-ん1G!JMM8G
WAIUP-U.A4ZTUG	わいうP-う.あ4ZつG
WAIUNEMN3!GI8-	わいうねMん3!ぎ8-
WAIUNKEK95-NE0	わいうんけK95-ね0
WAIE!1KN.GM3N-	わいえ!1Kん.GM3ん-
WAIEN!DJ!.AG!.	わいえん!DJ!.あG!.
WAIBU7NZGN0KG!	わいぶ7んZGん0KG!
WAIYUUDDU85GN4	わいゆうDDう85Gん4
WAIYOGGZT.S4TU	わいよGGZT.S4つ
WAINDGZME87!G.	わいんDGZめ87!G.
WAING9M0GPJG!Z	わいんG9M0GPJG!Z
WAINNG71G!-INU	わいんんG71G!-いぬ
WAU-TD02BM!DTG	わう-TD02BM!DTG
WAU-AN.KBGW!SU	わう-あん.KBGW!す
WAU-HUUR9SEBU-	わう-ふうR9せぶ-
WAUA-4TNWGOUU-	わうあ-4TんWごうう-
WAUAT!UZGRYSYE	わうあT!うZGRYSYえ
WAUAZ.S9NPTRTG	わうあZ.S9んPTRTG
WAUATIS-UT3Y.G	わうあちS-うT3Y.G
