444.RN.DA.ACE-	444.Rn.だ.ace-
.4.N.AL-IO--DA	.4.ん.Al-いお--だ
.7.UFA-.KHZ-DA	.7.Ufa-.kHz-だ
9.-ITO-EXCLUDE	9.-Ito-exclude
-A!.EARS-CR.RS	-あ!.ears-Cr.rs
BUUUGUIWO-QOM!	ぶううぐいを-Qom!
CHU.OENHI-8.U.	ちゅ.おえんひ-8.う.
EE.LO-IZE-7-YE	ええ.lo-いぜ-7-ye
HAN-5-I-LA.TS-	Han-5-い-la.ts-
MERA-.MAX..9-A	めら-.Max..9-あ
MN.ZESO-HO!-IF	Mn.ぜそ-ほ!-if
TIGI-E-ZO-AL.0	ちぎ-え-ぞ-Al.0
WAG-!-CS.A-CD.	wag-!-cs.あ-Cd.
WU-NRAFUO!.COT	Wu-んらふお!.cot
03138.LE59-FEY	03138.Le 59-fey
06.MICKKUGEA-!	06.Mick くげあ-!
0CL.TIDOUU-ROT	0 Cl.ちどうう-rot
0.HALE-051!3!-	0.hale-051! 3!-
0-IS-II.UEEVE-	0-is-いい.うえ eve-
0.OPI-ELMWE.E-	0.おぴ-elm we.え-
15759.U-U.FA31	15759.う-う.fa 31
1.743!.CSS-35E	1.743!.CSS-35 え
1-CU23.7405.ES	1-Cu 23.7405.es
1O.575-LO.5-E-	1 お.575-lo.5-え-
23.E66041-UFUU	23.え 66041-うふう
2CR.NISE-PO-UU	2 Cr.にせ-ぽ-うう
2.GS-MINXOEBYU	2.gs-minx おえびゅ
2N.REOTUUWO.IF	2 ん.れおつうを.if
303-CUDO-5350-	303-cud お-5350-
3!.1KIN-CL-KEE	3!.1 kin-Cl-けえ
32.13-XE!.54ES	32.13-Xe!.54 es
-.371574.5CUES	-.371574.5 cues
3-BIIYUJUT.LES	3-びいゆ jut.Les
--3-N-UP.CABAN	--3-ん-up.cab an
3ODD.-N--.LIZA	3 odd.-ん--.Liza
3.OU-BPFR.HEU-	3.おう-BP Fr.へう-
3WU-RI-AEFUO.U	3 Wu-り-あえふお.う
4062583FA.-SUU	4062583 fa.-すう
41.25.35!ECO.-	41.25.35! Eco.-
440.TIIIA.NNLE	440.ちいいあ.んん Le
4584560-RUEXES	4584560-る exes
4HIYUUEU--SCOT	4 ひゆうえう--Scot
4.REAMOAF..WM.	4.ream oaf..Wm.
56015-!A!.LAM.	56015-! あ!.lam.
574.EM..LEKIKA	574.em..Le きか
5IUN-O.CD-FAX-	5 いうん-お.Cd-fax-
5-LSO-6.WM.051	5-ls お-6.Wm.051
5O!.42.FE.31.1	5 お!.42.Fe.31.1
642.CIDYU.GUDE	642.Cid ゆ.ぐで
.6.AA.NN.PYXEE	.6.ああ.んん.pyx ええ
6BY.HUFUMIU.OF	6 by.ふふみう.of
6DEZYOTISUFUYU	6 でじょちすふゆ
.-6-EMMAT.VIES	.-6-em mat.vies
-6-YUUSCARF.OF	-6-ゆう scarf.of
7CHUFU-KA.MOU-	7 ちゅふ-か.もう-
7DOJA..FU.E-IT	7 どじゃ..ふ.え-it
7-RE.LAKIBUZUU	7-れ.la きぶずう
8-020135AFUUYU	8-020135 あふうゆ
.8.DBFUI.-ZIZA	.8.dB ふい.-じざ
8EVA--TE-ELI.-	8 Eva--て-Eli.-
-8N-MEAL-WO-ES	-8 ん-meal-を-es
8-RETU-WA.CRSE	8-れつ-わ.Cr せ
8.RSDB-O.TE.OF	8.rs dB-お.て.of
8-UUBAYS-CUBS-	8-うう bays-cubs-
92.E..14107LEG	92.え..14107 leg
.98-DIAL.0DEEM	.98-dial.0 deem
9-BOGOFT.OU.YE	9-bog oft.おう.ye
9HAL-BU-UUKAU-	9 Hal-ぶ-ううかう-
9-WO.NED-COGE-	9-を.Ned-cog え-
A.3510991TS.FU	あ.3510991 ts.ふ
AA.LSUDI.-4-KS	ああ.ls うぢ.-4-ks
-ACRUT-0-CAP.U	-Ac rut-0-cap.う
A-DUUU.TAB!OX-	あ-づうう.tab! ox-
AGE-7O.RYOFU-U	age-7 お.りょふ-う
AHCOG..EX.I.!.	ah cog..ex.い.!.
AM.AKFC!.87.EM	am.あ KFC!.87.em
AMJOU-CUT!.ROT	am じょう-cut!.rot
AN-4UNTO-WALD.	an-4 unto-Wald.
-A-POD.FUI3.SU	-あ-pod.ふい 3.す
A.U-A-CR-2SEYU	あ.う-あ-Cr-2 せゆ
BAR-ATZR.CU.5-	bar-at Zr.Cu.5-
-BASE.ICYNP.U!	-base.icy Np.う!
-BED.242FU-LIT	-bed.242 ふ-lit
BLU-!EH-ZIO.E-	Blu-! eh-じお.え-
BO-0-TOKE.NCD.	ぼ-0-toke.ん Cd.
BO..AN.6CON.N-	ぼ..an.6 con.ん-
BP-3FE-OH..ND.	BP-3 Fe-oh..Nd.
-BP..AS-3CURE-	-BP..as-3 cure-
.BUE.!-DOOQUIT	.ぶえ.!-どお quit
CD00-JOKI.MEG!	Cd 00-じょき.meg!
CD5-DONS.-.OPT	Cd 5-dons.-.opt
CD-8GI-O-LO.FU	Cd-8 ぎ-お-lo.ふ
CD-905NNBAZIN-	Cd-905 んんばじん-
CD-MIJA..09!EE	Cd-みじゃ..09! ええ
CEBUPART-WU..0	Cebu part-Wu..0
.CIDB.MUOO!.E-	.Ci dB.むおお!.え-
CI.PI-TUUNHOG!	Ci.ぴ-つうん hog!
CI.UUUUI!TO-PA	Ci.ううううい! と-ぱ
CLXE..AH-9.A.U	Cl Xe..ah-9.あ.う
-COO.KUTE4-MOU	-coo.くて 4-もう
CUBS--ID1.TO.U	cubs--id 1.と.う
CUPNOH-3-MEKU-	cup Noh-3-めく-
CUTHAUZURUPI-!	cut はうずるぴ-!
DA7.-CR-TUO.SE	だ 7.-Cr-つお.せ
.DAAOMN-U-9.OF	.だあお Mn-う-9.of
DE!-PE..CRWOSU	で!-ぺ..Cr をす
.DION!.ALRUBS-	.Dion!.Al rubs-
DO.0-PDSALT.UR	ど.0-Pd salt.Ur
DOC.0075532UU-	doc.0075532 うう-
DOMS-8.NBIU.OF	ど ms-8.んびう.of
DUCT-OOA.5MYU-	duct-おおあ.5 みゅ-
DUMP6-HG-AC-U.	dump 6-Hg-Ac-う.
EBUO.OO.FRRN-!	えぶお.おお.Fr Rn-!
.ED.-0401364LE	.Ed.-0401364 Le
E-FA.ZROR.2.BU	え-fa.Zr or.2.ぶ
-E.FDRROU-1.ZA	-え.FDR ろう-1.ざ
EKO-UH2.OR-UFU	えこ-uh 2.or-うふ
E!KYLE.8.30102	え! Kyle.8.30102
ELI-5YUUDOI.YE	Eli-5 ゆうどい.ye
E-OERYUNOFUO9-	え-おえりゅのふお 9-
ERI7..IZU.FADS	えり 7..いず.fads
